Code;Libellé;Médiane du niveau de vie 2021;Taux d'activité par tranche d'âge 2021;Part des actifs occupés de 15 ans ou plus  les transports en commun 2021;Population municipale 2021;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2021;École maternelle, primaire, élémentaire (en nombre) 2023;Médecin généraliste (en nombre) 2023
81105;Graulhet;18800;66.8;1.2;13166;3.3;6;6
81106;Grazac;25130;83.9;7.8;634;13.8;1;0
81108;Itzac;21970;69.7;0;178;13.8;1;0
81109;Jonquières;21980;71.4;0.6;441;2.5;1;0
81110;Jouqueviel;0;71.7;6.7;99;4.7;0;0
81111;Labarthe-Bleys;0;69.4;4.5;75;12.9;0;0
81112;Labastide-de-Lévis;23550;76.1;2.6;958;7.8;1;0
81114;Labastide-Gabausse;24090;79.1;1.7;529;4.9;0;0
81115;Labastide-Rouairoux;17620;69.9;2.3;1417;2.6;1;5
81116;Labastide-Saint-Georges;24120;77.7;4;1968;8.8;1;0
81117;Labessière-Candeil;22450;79.4;0.3;742;3.8;1;1
81118;Laboulbène;25400;77.3;1.6;165;8.6;0;0
81119;Laboutarie;20890;80.6;3.6;494;4;1;2
81120;Labruguière;21070;77.1;1.5;6538;4.4;4;4
81121;Lacabarède;18140;80.3;4.2;291;2.1;1;0
81122;Lacapelle-Pinet;0;84.2;0;73;8.1;0;0
81123;Lacapelle-Ségalar;0;83.3;8.3;89;8.1;0;0
81124;Lacaune;21900;76.3;0.9;2471;2.5;2;1
81125;Lacaze;17220;69;0;314;1.9;0;0
81126;Lacougotte-Cadoul;24360;80;1.1;180;15.4;1;0
81127;Lacroisille;21740;79.8;0;103;9.4;0;0
81128;Lacrouzette;21740;75.4;0.2;1551;2.8;2;1
81129;Lagardiolle;19460;82.4;0;225;3;1;0
81130;Lagarrigue;22790;73;1.6;1789;2.9;1;1
81131;Lagrave;24610;79.6;1.7;2244;8.4;1;3
81132;Guitalens-L'Albarède;21250;77.8;2;829;3.9;1;3
81133;Lamillarié;24160;79.8;0.5;499;5.5;1;0
81134;Lamontélarié;0;67.7;0;56;5.9;0;0
81135;Laparrouquial;0;78.6;0;94;2.5;1;0
81136;Larroque;23810;74.7;8.7;155;16.1;0;0
81137;Lasfaillades;0;72.3;0;88;6.7;0;0
81138;Lasgraisses;21280;80.5;0.5;569;5.5;1;0
81139;Lautrec;22500;75.5;2.5;1694;7.6;1;2
81140;Lavaur;22770;75.3;5.5;10830;8.9;8;11
81141;Lédas-et-Penthiès;20280;78.9;1.8;156;4.8;0;0
81142;Lempaut;22090;78.3;2.6;889;5.8;1;0
81143;Lescout;22110;82.2;1.5;771;4.5;1;0
81144;Lescure-d'Albigeois;22770;77;1.4;4589;4.6;2;3
